accession	number_samples	species	abstract	rse_gene	rse_exon	counts_gene	counts_exon	phenotype	genes	exons	files_info
<a href="http://trace.ncbi.nlm.nih.gov/Traces/sra/?study=DRP001055">DRP001055</a>	4	human	A cohesin component RAD21 is recurrently mutated in myeloid neoplasms. To investigate the role of RAD21 mutation in leukemogenesis, we performed RNA sequencing of mock, wild-type or mutant RAD21 transduced Kasumi-1 cells and compared their effect on global gene expression.	<a href="http://duffel.rail.bio/recount/DRP001055/rse_gene.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/DRP001055/rse_exon.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/DRP001055/counts_gene.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/DRP001055/counts_exon.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/DRP001055/DRP001055.tsv">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-genes-bp-length.Rdata">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-exons.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/DRP001055/files_info.tsv">link</a>
<a href="http://trace.ncbi.nlm.nih.gov/Traces/sra/?study=DRP001149">DRP001149</a>	12	human	Comparison of CAGE and RNA-seq transcriptome profiling using a clonally amplified and single molecule next generation sequencing	<a href="http://duffel.rail.bio/recount/DRP001149/rse_gene.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/DRP001149/rse_exon.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/DRP001149/counts_gene.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/DRP001149/counts_exon.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/DRP001149/DRP001149.tsv">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-genes-bp-length.Rdata">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-exons.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/DRP001149/files_info.tsv">link</a>
<a href="http://trace.ncbi.nlm.nih.gov/Traces/sra/?study=DRP001150">DRP001150</a>	19	human	The FANTOM5 promoter expression atlas provides a rich source of expression and functional annotation of human and mouse cell-type specific transcriptomes with wide applications in biomedical research.	<a href="http://duffel.rail.bio/recount/DRP001150/rse_gene.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/DRP001150/rse_exon.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/DRP001150/counts_gene.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/DRP001150/counts_exon.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/DRP001150/DRP001150.tsv">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-genes-bp-length.Rdata">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-exons.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/DRP001150/files_info.tsv">link</a>
<a href="http://trace.ncbi.nlm.nih.gov/Traces/sra/?study=DRP001194">DRP001194</a>	9	human	5’ cap structure plays a very important role in the biological system, as it for instance regulates RNA stability and localization.Here we report an intensive study of the cap structure of short RNAs (sRNAs), using three different methods: thin layer chromatography, mass spectrometry, and sequencing of small RNA libraries.	<a href="http://duffel.rail.bio/recount/DRP001194/rse_gene.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/DRP001194/rse_exon.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/DRP001194/counts_gene.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/DRP001194/counts_exon.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/DRP001194/DRP001194.tsv">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-genes-bp-length.Rdata">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-exons.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/DRP001194/files_info.tsv">link</a>
<a href="http://trace.ncbi.nlm.nih.gov/Traces/sra/?study=DRP001219">DRP001219</a>	1	human	In addition to BCR, various rare fusion partners for the ABL1 gene have been reported in leukemia.  We have identified the fusion gene SNX2-ABL1 in a pediatric case of acute lymphoblastic leukemia (ALL), which has only once previously been reported in an adult patient.  Cytogenetic analysis detected this fusion gene arising from a t(5;9)(q22;q34) translocation.  ALL cells carrying a SNX2-ABL1 fusion exhibited a BCR-ABL1+ALL-like gene expression profile.  The patient poorly responded to dasatinib but partially responded to imatinib.  Treatment using tyrosine kinase inhibitors requires further investigation to optimize the genotype-based treatment stratification for patients with SNX2-ABL1 fusion.	<a href="http://duffel.rail.bio/recount/DRP001219/rse_gene.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/DRP001219/rse_exon.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/DRP001219/counts_gene.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/DRP001219/counts_exon.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/DRP001219/DRP001219.tsv">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-genes-bp-length.Rdata">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-exons.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/DRP001219/files_info.tsv">link</a>
<a href="http://trace.ncbi.nlm.nih.gov/Traces/sra/?study=DRP001220">DRP001220</a>	1	human	In addition to BCR, various rare fusion partners for the ABL1 gene have been reported in leukemia.  We have identified the fusion gene SNX2-ABL1 in a pediatric case of acute lymphoblastic leukemia (ALL), which has only once previously been reported in an adult patient.  Cytogenetic analysis detected this fusion gene arising from a t(5;9)(q22;q34) translocation.  ALL cells carrying a SNX2-ABL1 fusion exhibited a BCR-ABL1+ALL-like gene expression profile.  The patient poorly responded to dasatinib but partially responded to imatinib.  Treatment using tyrosine kinase inhibitors requires further investigation to optimize the genotype-based treatment stratification for patients with SNX2-ABL1 fusion.	<a href="http://duffel.rail.bio/recount/DRP001220/rse_gene.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/DRP001220/rse_exon.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/DRP001220/counts_gene.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/DRP001220/counts_exon.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/DRP001220/DRP001220.tsv">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-genes-bp-length.Rdata">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-exons.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/DRP001220/files_info.tsv">link</a>
<a href="http://trace.ncbi.nlm.nih.gov/Traces/sra/?study=DRP001280">DRP001280</a>	7	human	By integrative analysis of ChIP-seq, RNA-seq and our BRIC-seq, we found that transcriptional regulation and RNA degradation are independently regulated. In addition, we showed that RNA stability serves as an important determinant of eventual transcript levels. We also suggest that RNA binding proteins, such as UPF1, STAU1 and EXOSC5, play active roles in such controls.	<a href="http://duffel.rail.bio/recount/DRP001280/rse_gene.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/DRP001280/rse_exon.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/DRP001280/counts_gene.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/DRP001280/counts_exon.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/DRP001280/DRP001280.tsv">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-genes-bp-length.Rdata">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-exons.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/DRP001280/files_info.tsv">link</a>
<a href="http://trace.ncbi.nlm.nih.gov/Traces/sra/?study=DRP001358">DRP001358</a>	337	human	To understand heterogeneous behaviors of individual cancer cells, it should be important to investigate gene expression levels as well as their divergences between individual cells. Here we conducted a single cell RNA Seq analysis of a series of lung adenocarcinoma cell lines. We analyzed a total of 337 RNA Seq libraries of single cells and found gene expression diversities between individual cells are characteristic depending on genes. The genes showing highly variable expressions were enriched in particular pathways. Particularly, the EGFR pathway genes originally showed wider variations and further diversity was induced in response to an anticancer-drug stimulation. We also observed that cancer-related genes, which were identified from recent clinical cancer sequencing projects, showed potential expression variations, which firstly became apparent on the anti-cancer drug stimulation.	<a href="http://duffel.rail.bio/recount/DRP001358/rse_gene.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/DRP001358/rse_exon.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/DRP001358/counts_gene.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/DRP001358/counts_exon.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/DRP001358/DRP001358.tsv">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-genes-bp-length.Rdata">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-exons.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/DRP001358/files_info.tsv">link</a>
<a href="http://trace.ncbi.nlm.nih.gov/Traces/sra/?study=DRP001797">DRP001797</a>	324	human	Taking advantage of epigenome analysis, research teams in this CREST program aim to establish novel diagnostic and therapeutic strategies for various disorders, to establish novel concept in differentiation and reprogramming, and to produce novel methods for epigenome analysis.	<a href="http://duffel.rail.bio/recount/DRP001797/rse_gene.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/DRP001797/rse_exon.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/DRP001797/counts_gene.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/DRP001797/counts_exon.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/DRP001797/DRP001797.tsv">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-genes-bp-length.Rdata">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-exons.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/DRP001797/files_info.tsv">link</a>
<a href="http://trace.ncbi.nlm.nih.gov/Traces/sra/?study=DRP001919">DRP001919</a>	26	human	Cancer cells carry various types of aberrations at the levels of genome, epigenome and transcriptome. For future studies on the biological relevance of the aberrations and their mutual relations, we generated a multi-omics catalogue of 26 lung adenocarcinoma cell lines. By whole-genome sequencing, we detected SNVs and indels, copy number aberrations and chromosome rearrangements. We used RNA-Seq to examine whether those mutation-harboring genes are expressed in the corresponding cell lines or whether their expression levels are deviated between the cell lines. Also, we could detect known and novel abnormal transcripts, such as RET- and ALK-fusion transcripts and transcripts caused by splice site mutations. Similarly, target-captured bisulfite sequencing and ChIP-Seq analyses revealed epigenomic status in each cell line and their deviations. We integrated these multi-omics data to explain possible causes of the observed aberrant gene expressions, particular for the representative cancer-related genes. We unexpectedly found that the patterns of aberrations were highly diverse between genes; namely irregular chromatin status revealed by ChIP-Seq was the characteristic to the EGFR, while a large genomic deletion and hyper-DNA methylation in the promoter region were the most frequent for the CDKN2A gene. Our datasets, by complementing current whole-exome or whole-genome sequencing of clinical cancers, should lay valuable base for interpreting how various types of genomic and epigenomic aberration lead to aberrant transcriptomic appearances in cancers.	<a href="http://duffel.rail.bio/recount/DRP001919/rse_gene.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/DRP001919/rse_exon.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/DRP001919/counts_gene.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/DRP001919/counts_exon.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/DRP001919/DRP001919.tsv">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-genes-bp-length.Rdata">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-exons.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/DRP001919/files_info.tsv">link</a>
<a href="http://trace.ncbi.nlm.nih.gov/Traces/sra/?study=DRP002380">DRP002380</a>	1	human	Cancer cells carry various types of aberrations at the levels of genome, epigenome and transcriptome. For future studies on the biological relevance of the aberrations and their mutual relations, we generated a multi-omics catalogue of 26 lung adenocarcinoma cell lines. By whole-genome sequencing, we detected SNVs and indels, copy number aberrations and chromosome rearrangements. We used RNA-Seq to examine whether those mutation-harboring genes are expressed in the corresponding cell lines or whether their expression levels are deviated between the cell lines. Also, we could detect known and novel abnormal transcripts, such as RET- and ALK-fusion transcripts and transcripts caused by splice site mutations. Similarly, target-captured bisulfite sequencing and ChIP-Seq analyses revealed epigenomic status in each cell line and their deviations. We integrated these multi-omics data to explain possible causes of the observed aberrant gene expressions, particular for the representative cancer-related genes. We unexpectedly found that the patterns of aberrations were highly diverse between genes; namely irregular chromatin status revealed by ChIP-Seq was the characteristic to the EGFR, while a large genomic deletion and hyper-DNA methylation in the promoter region were the most frequent for the CDKN2A gene. Our datasets, by complementing current whole-exome or whole-genome sequencing of clinical cancers, should lay valuable base for interpreting how various types of genomic and epigenomic aberration lead to aberrant transcriptomic appearances in cancers.	<a href="http://duffel.rail.bio/recount/DRP002380/rse_gene.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/DRP002380/rse_exon.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/DRP002380/counts_gene.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/DRP002380/counts_exon.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/DRP002380/DRP002380.tsv">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-genes-bp-length.Rdata">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-exons.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/DRP002380/files_info.tsv">link</a>
<a href="http://trace.ncbi.nlm.nih.gov/Traces/sra/?study=DRP002435">DRP002435</a>	477	human	The goal of these libraries is to find transcriptome signatures of the different phases of the cell cycle.  Single HeLa cells expressing fluorescent reporters that peak in G1 and G2/M phases were captured in C1 Single-Cell Auto Prep systems (Fluidigm  recording red and green fluorescence for each cell individually, each cell was lysed and their RNAs converted to cDNAs in the C1 systems using SMARTer kits (Clontech).  The cDNAs were then collected and converted to RNA-seq libraries by tagmentation using Illumina/Nextera kits.  The cells used in this experiment are unpublished as of today, and precise details will be given later, together with the fluorescence values.  In the meantime, this dataset can be used to assess reproducibility of single-cell RNA-seq over 5 runs in the Fluidigm system.	<a href="http://duffel.rail.bio/recount/DRP002435/rse_gene.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/DRP002435/rse_exon.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/DRP002435/counts_gene.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/DRP002435/counts_exon.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/DRP002435/DRP002435.tsv">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-genes-bp-length.Rdata">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-exons.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/DRP002435/files_info.tsv">link</a>
