sample	submission date	publication date	last update	title	ids	attributes
DRS001024	2011-12-09T01:08:15.650	2011-11-28T00:00:00.000	2014-11-12T03:29:14.000	SRig10153	NA	sample_name:DRS001024;sample comment:Hela short nuclear cell fraction, LNA(+)
DRS001025	2011-12-09T01:08:15.640	2011-11-28T00:00:00.000	2014-11-12T03:29:14.000	SRig10144	NA	sample_name:DRS001025;sample comment:Hela short nuclear cell fraction, control
DRS001140	2012-06-01T09:05:13.320	2012-05-30T00:00:00.000	2014-11-12T03:29:43.000	Human ICESeq CE-	NA	sample_name:DRS001140;sample comment:Total RNAs of a human adult brain (Male, Age 30) CE-
DRS001141	2012-06-01T09:05:13.273	2012-05-30T00:00:00.000	2014-11-12T03:29:43.000	Human ICESeq CE+	NA	sample_name:DRS001141;sample comment:Total RNAs of a human adult brain (Male, Age 30) CE+
DRS001142	2012-06-01T09:05:13.103	2012-05-30T00:00:00.000	2014-11-12T03:29:43.000	Human ICESeq CE++	NA	sample_name:DRS001142;sample comment:Total RNAs of a human adult brain (Male, Age 30) CE++
DRS001232	2012-01-22T19:29:20.130	2012-01-20T00:00:00.000	2014-11-12T03:28:52.000	Hela cells (without wild-type U2AF35 induction by doxycycline)	NA	sample_name:DRS001232;sample comment:Flag-tagged cDNAs of the wild-type and mutant U2AF35 were generated by in vitro mutagenesis, constructed into a tetracycline-inducible lentivirus-based expression vector, and used for gene transfer to cultured cell lines, with EGFP marking.
DRS001233	2012-01-22T19:29:20.120	2012-01-20T00:00:00.000	2014-11-12T03:28:52.000	Wild-type U2AF35 transduced HeLa cells	NA	sample_name:DRS001233;sample comment:Flag-tagged cDNAs of the wild-type and mutant U2AF35 were generated by in vitro mutagenesis, constructed into a tetracycline-inducible lentivirus-based expression vector, and used for gene transfer to cultured cell lines, with EGFP marking.
DRS001234	2012-01-22T19:29:20.126	2012-01-20T00:00:00.000	2014-11-12T03:28:52.000	Hela cells (without S34F mutant U2AF35 induction by doxycycline)	NA	sample_name:DRS001234;sample comment:Flag-tagged cDNAs of the wild-type and mutant U2AF35 were generated by in vitro mutagenesis, constructed into a tetracycline-inducible lentivirus-based expression vector, and used for gene transfer to cultured cell lines, with EGFP marking.
DRS001235	2012-01-22T19:29:20.073	2012-01-20T00:00:00.000	2014-11-12T03:28:52.000	S34F mutant U2AF35 transduced HeLa cells	NA	sample_name:DRS001235;sample comment:Flag-tagged cDNAs of the wild-type and mutant U2AF35 were generated by in vitro mutagenesis, constructed into a tetracycline-inducible lentivirus-based expression vector, and used for gene transfer to cultured cell lines, with EGFP marking.
DRS001614	2014-03-26T08:09:42.993	2013-03-27T00:00:00.000	2014-11-12T03:29:29.000	Nosicontrol polyA+	NA	sample_name:DRS001614;sample comment:This sample is total RNA in the Hela cells that was prepared as a negative control. The RNA purified by polyA-selection (polyA+) were processed for sequencing analysis.
DRS001615	2014-03-26T08:09:42.853	2013-03-27T00:00:00.000	2014-11-12T03:29:29.000	sicontrol-1  polyA+	NA	sample_name:DRS001615;sample comment:This sample is total RNA in the Hela cells that was prepared as a positive control. The RNA purified by polyA-selection (polyA+) were processed for sequencing analysis.
DRS001616	2014-03-26T08:09:43.350	2013-03-27T00:00:00.000	2014-11-12T03:29:29.000	sicontrol-2  polyA+	NA	sample_name:DRS001616;sample comment:This sample is total RNA in the Hela cells that was prepared as a positive control. The RNA purified by polyA-selection (polyA+) were processed for sequencing analysis.
DRS001617	2014-03-26T08:09:43.496	2013-03-27T00:00:00.000	2014-11-12T03:29:29.000	siUPF1 -1 polyA+	NA	sample_name:DRS001617;sample comment:This sample is total RNA in the UPF1-depleted Hela cells. The RNA purified by polyA-selection (polyA+) were processed for sequencing analysis.
DRS001618	2014-03-26T08:09:43.450	2013-03-27T00:00:00.000	2014-11-12T03:29:29.000	siUPF1 -2 polyA+	NA	sample_name:DRS001618;sample comment:This sample is total RNA in the UPF1-depleted Hela cells. The RNA purified by polyA-selection (polyA+) were processed for sequencing analysis.
DRS002087	2014-03-26T08:10:05.140	2013-04-11T00:00:00.000	2014-11-12T03:29:15.000	T24_0mM_3h_I	NA	sample_name:DRS002087;sample comment:The total RNA were prepared from the human bladde cancer cell line, T24, cultured under DMEM containing 0 mM glucose for 3h.
DRS002088	2014-03-26T08:10:05.213	2013-04-11T00:00:00.000	2014-11-12T03:29:15.000	T24_0mM_3h_II	NA	sample_name:DRS002088;sample comment:The total RNA were prepared from the human bladde cancer cell line, T24, cultured under DMEM containing 0 mM glucose for 3h.
DRS002089	2014-03-26T08:10:05.310	2013-04-11T00:00:00.000	2014-11-12T03:29:15.000	T24_0mM_6h_I	NA	sample_name:DRS002089;sample comment:The total RNA were prepared from the human bladde cancer cell line, T24, cultured under DMEM containing 0 mM glucose for 6h.
DRS002090	2014-03-26T08:10:05.470	2013-04-11T00:00:00.000	2014-11-12T03:29:15.000	T24_0mM_6h_II	NA	sample_name:DRS002090;sample comment:The total RNA were prepared from the human bladde cancer cell line, T24, cultured under DMEM containing 0 mM glucose for 6h.
DRS002091	2014-03-26T08:10:05.416	2013-04-11T00:00:00.000	2014-11-12T03:29:15.000	T24_0mM_9h_I	NA	sample_name:DRS002091;sample comment:The total RNA were prepared from the human bladde cancer cell line, T24, cultured under DMEM containing 0 mM glucose for 9h.
DRS002092	2014-03-26T08:10:05.363	2013-04-11T00:00:00.000	2014-11-12T03:29:15.000	T24_0mM_9h_II	NA	sample_name:DRS002092;sample comment:The total RNA were prepared from the human bladde cancer cell line, T24, cultured under DMEM containing 0 mM glucose for 9h.
DRS002093	2014-03-26T08:10:05.260	2013-04-11T00:00:00.000	2014-11-12T03:29:15.000	T24_25mM_III	NA	sample_name:DRS002093;sample comment:The total RNA were prepared from the human bladde cancer cell line, T24, cultured under DMEM containing 0 mM glucose for 24h.
DRS003051	2014-03-26T08:12:28.563	2013-03-14T00:00:00.000	2014-11-12T03:29:03.000	RNA-seq in hTERT-RPE1 treated with control siRNA	NA	sample_name:DRS003051;sample comment:RNA-seq in hTERT-RPE1 treated with control siRNA
DRS003052	2014-03-26T08:12:28.006	2013-03-14T00:00:00.000	2014-11-12T03:29:03.000	RNA-seq in hTERT-RPE1 treated with HBiX1 siRNA	NA	sample_name:DRS003052;sample comment:RNA-seq in hTERT-RPE1 treated with HBiX1 siRNA
DRS003053	2014-03-26T08:12:28.790	2013-03-14T00:00:00.000	2014-11-12T03:29:03.000	RNA-seq in hTERT-RPE1 treated with SMCHD1 siRNA	NA	sample_name:DRS003053;sample comment:RNA-seq in hTERT-RPE1 treated with SMCHD1 siRNA
DRS003054	2014-03-26T08:12:27.936	2013-03-14T00:00:00.000	2014-11-12T03:29:03.000	RNA-seq in hTERT-RPE1 treated with XIST siRNA	NA	sample_name:DRS003054;sample comment:RNA-seq in hTERT-RPE1 treated with XIST siRNA
DRS005720	2014-05-08T16:05:10.686	2014-05-08T00:00:00.000	2014-11-12T03:29:30.000	malaria1#01	NA	sample_name:DRS005720;sample comment:This sample is the RNA that isolated from peripheral blood samples of following condition malaria patients.From : Manado (Indonesia)Age : NA;Sex : NA;Temperature : NA;Days : NA;
DRS005721	2014-05-08T16:05:14.816	2014-05-08T00:00:00.000	2014-11-12T03:29:30.000	malaria2#01	NA	sample_name:DRS005721;sample comment:This sample is the RNA that isolated from peripheral blood samples of following condition malaria patients.From : Manado (Indonesia)Age : NA;Sex : NA;Temperature : NA;Days : NA;
DRS005722	2014-05-08T16:05:15.713	2014-05-08T00:00:00.000	2014-11-12T03:29:30.000	malaria2#04	NA	sample_name:DRS005722;sample comment:This sample is the RNA that isolated from peripheral blood samples of following condition malaria patients.From : Manado (Indonesia)Age : NA;Sex : NA;Temperature : NA;Days : NA;
DRS005723	2014-05-08T16:05:13.513	2014-05-08T00:00:00.000	2014-11-12T03:29:30.000	malaria3#05	NA	sample_name:DRS005723;sample comment:This sample is the RNA that isolated from peripheral blood samples of following condition malaria patients.From : Manado (Indonesia)Age : NA;Sex : NA;Temperature : NA;Days : NA;
DRS005724	2014-05-08T16:05:15.976	2014-05-08T00:00:00.000	2014-11-12T03:29:30.000	malaria3#07	NA	sample_name:DRS005724;sample comment:This sample is the RNA that isolated from peripheral blood samples of following condition malaria patients.From : Manado (Indonesia)Age : NA;Sex : NA;Temperature : NA;Days : NA;
DRS005725	2014-05-08T16:05:12.280	2014-05-08T00:00:00.000	2014-11-12T03:29:30.000	malaria3#06	NA	sample_name:DRS005725;sample comment:This sample is the RNA that isolated from peripheral blood samples of following condition malaria patients.From : Manado (Indonesia)Age : NA;Sex : NA;Temperature : NA;Days : NA;
DRS005726	2014-05-08T16:05:13.130	2014-05-08T00:00:00.000	2014-11-12T03:29:30.000	malaria5#02	NA	sample_name:DRS005726;sample comment:This sample is the RNA that isolated from peripheral blood samples of following condition malaria patients.From : Manado (Indonesia)Age : 27;Sex : Male;Temperature : 39;Days : 4;
DRS005727	2014-05-08T16:05:13.706	2014-05-08T00:00:00.000	2014-11-12T03:29:30.000	malaria5#04	NA	sample_name:DRS005727;sample comment:This sample is the RNA that isolated from peripheral blood samples of following condition malaria patients.From : Manado (Indonesia)Age : 36;Sex : Male;Temperature : 38.3;Days : 3;
DRS005728	2014-05-08T16:05:16.310	2014-05-08T00:00:00.000	2014-11-12T03:29:30.000	malaria5#06	NA	sample_name:DRS005728;sample comment:This sample is the RNA that isolated from peripheral blood samples of following condition malaria patients.From : Manado (Indonesia)Age : 3;Sex : Female;Temperature : 37.7;Days : 11;
DRS005729	2014-05-08T16:05:10.586	2014-05-08T00:00:00.000	2014-11-12T03:29:30.000	malaria5#07	NA	sample_name:DRS005729;sample comment:This sample is the RNA that isolated from peripheral blood samples of following condition malaria patients.From : Manado (Indonesia)Age : 3;Sex : Female;Temperature : 37.0;Days : 3;
DRS005730	2014-05-08T16:05:15.506	2014-05-08T00:00:00.000	2014-11-12T03:29:30.000	malaria5#08	NA	sample_name:DRS005730;sample comment:This sample is the RNA that isolated from peripheral blood samples of following condition malaria patients.From : Manado (Indonesia)Age : 27;Sex : Male;Temperature : 37.4;Days : NA;
DRS005731	2014-05-08T16:05:14.600	2014-05-08T00:00:00.000	2014-11-12T03:29:30.000	malaria5#1	NA	sample_name:DRS005731;sample comment:This sample is the RNA that isolated from peripheral blood samples of following condition malaria patients.From : Bitung (Indonesia)Age : 13;Sex : Male;Temperature : 38.2;Days : 14;
DRS005732	2014-05-08T16:05:15.866	2014-05-08T00:00:00.000	2014-11-12T03:29:30.000	malaria5#2	NA	sample_name:DRS005732;sample comment:This sample is the RNA that isolated from peripheral blood samples of following condition malaria patients.From : Bitung (Indonesia)Age : 11;Sex : Feale;Temperature : NA;Days : 3;
DRS005733	2014-05-08T16:05:15.830	2014-05-08T00:00:00.000	2014-11-12T03:29:30.000	malaria5#3	NA	sample_name:DRS005733;sample comment:This sample is the RNA that isolated from peripheral blood samples of following condition malaria patients.From : Bitung (Indonesia)Age : 39;Sex : Male;Temperature : 39;Days : 4;
DRS005734	2014-05-08T16:05:15.363	2014-05-08T00:00:00.000	2014-11-12T03:29:30.000	malaria5#5	NA	sample_name:DRS005734;sample comment:This sample is the RNA that isolated from peripheral blood samples of following condition malaria patients.From : Bitung (Indonesia)Age : 10;Sex : Female;Temperature : 38;Days : 4.5;
DRS005735	2014-05-08T16:05:10.723	2014-05-08T00:00:00.000	2014-11-12T03:29:30.000	malaria5#6	NA	sample_name:DRS005735;sample comment:This sample is the RNA that isolated from peripheral blood samples of following condition malaria patients.From : Bitung (Indonesia)Age : 21;Sex : Male;Temperature : 39;Days : 2.5;
DRS005736	2014-05-08T16:05:15.070	2014-05-08T00:00:00.000	2014-11-12T03:29:30.000	malaria5#10	NA	sample_name:DRS005736;sample comment:This sample is the RNA that isolated from peripheral blood samples of following condition malaria patients.From : Bitung (Indonesia)Age : 4;Sex : Male;Temperature : 37;Days : 7;
DRS005737	2014-05-08T16:05:15.140	2014-05-08T00:00:00.000	2014-11-12T03:29:30.000	malaria5#11	NA	sample_name:DRS005737;sample comment:This sample is the RNA that isolated from peripheral blood samples of following condition malaria patients.From : Bitung (Indonesia)Age : 26;Sex : Male;Temperature : 38;Days : 7;
DRS005738	2014-05-08T16:05:16.456	2014-05-08T00:00:00.000	2014-11-12T03:29:30.000	malaria5#13	NA	sample_name:DRS005738;sample comment:This sample is the RNA that isolated from peripheral blood samples of following condition malaria patients.From : Bitung (Indonesia)Age : 24;Sex : Female;Temperature : 38;Days : 3;
DRS005739	2014-05-08T16:05:16.420	2014-05-08T00:00:00.000	2014-11-12T03:29:30.000	malaria5#34	NA	sample_name:DRS005739;sample comment:This sample is the RNA that isolated from peripheral blood samples of following condition malaria patients.From : Bitung (Indonesia)Age : 8;Sex : Male;Temperature : 39;Days : 7;
DRS005740	2014-05-08T16:05:15.260	2014-05-08T00:00:00.000	2014-11-12T03:29:30.000	malaria5#39	NA	sample_name:DRS005740;sample comment:This sample is the RNA that isolated from peripheral blood samples of following condition malaria patients.From : Bitung (Indonesia)Age : 46;Sex : Female;Temperature : 39;Days : 3;
DRS005741	2014-05-08T16:05:13.463	2014-05-08T00:00:00.000	2014-11-12T03:29:30.000	malaria5#40	NA	sample_name:DRS005741;sample comment:This sample is the RNA that isolated from peripheral blood samples of following condition malaria patients.From : Bitung (Indonesia)Age : 56;Sex : Male;Temperature : 37;Days : 3;
DRS005742	2014-05-08T16:05:15.590	2014-05-08T00:00:00.000	2014-11-12T03:29:30.000	malaria5#41	NA	sample_name:DRS005742;sample comment:This sample is the RNA that isolated from peripheral blood samples of following condition malaria patients.From : Bitung (Indonesia)Age : 34;Sex : Female;Temperature : 38;Days : 7;
DRS005743	2014-05-08T16:05:14.636	2014-05-08T00:00:00.000	2014-11-12T03:29:30.000	malaria5#43	NA	sample_name:DRS005743;sample comment:This sample is the RNA that isolated from peripheral blood samples of following condition malaria patients.From : Bitung (Indonesia)Age : 42;Sex : Female;Temperature : NA;Days : NA;
DRS005744	2014-05-08T16:05:14.400	2014-05-08T00:00:00.000	2014-11-12T03:29:30.000	malaria5#44	NA	sample_name:DRS005744;sample comment:This sample is the RNA that isolated from peripheral blood samples of following condition malaria patients.From : Bitung (Indonesia)Age : 36;Sex : Male;Temperature : NA;Days : NA;
DRS005745	2014-05-08T16:05:13.090	2014-05-08T00:00:00.000	2014-11-12T03:29:30.000	malaria5#46	NA	sample_name:DRS005745;sample comment:This sample is the RNA that isolated from peripheral blood samples of following condition malaria patients.From : Bitung (Indonesia)Age : 5;Sex : Male;Temperature : 39;Days : 7;
DRS005746	2014-05-08T16:05:10.930	2014-05-08T00:00:00.000	2014-11-12T03:29:30.000	malaria5#47	NA	sample_name:DRS005746;sample comment:This sample is the RNA that isolated from peripheral blood samples of following condition malaria patients.From : Bitung (Indonesia)Age : 2;Sex : Male;Temperature : 38;Days : 3;
DRS005747	2014-05-08T16:05:13.873	2014-05-08T00:00:00.000	2014-11-12T03:29:30.000	malaria5#49	NA	sample_name:DRS005747;sample comment:This sample is the RNA that isolated from peripheral blood samples of following condition malaria patients.From : Bitung (Indonesia)Age : 8;Sex : Female;Temperature : NA;Days : NA;
DRS005748	2014-05-08T16:05:13.563	2014-05-08T00:00:00.000	2014-11-12T03:29:30.000	malaria5#03	NA	sample_name:DRS005748;sample comment:This sample is the RNA that isolated from peripheral blood samples of following condition malaria patients.From : Manado (Indonesia)Age : 9;Sex : Male;Temperature : 38;Days : 2;
DRS005749	2014-05-08T16:05:16.820	2014-05-08T00:00:00.000	2014-11-12T03:29:30.000	malaria5#09	NA	sample_name:DRS005749;sample comment:This sample is the RNA that isolated from peripheral blood samples of following condition malaria patients.From : Manado (Indonesia)Age : 9;Sex : Female;Temperature : 37.8;Days : 3;
DRS005750	2014-05-08T16:05:13.213	2014-05-08T00:00:00.000	2014-11-12T03:29:30.000	malaria5#4	NA	sample_name:DRS005750;sample comment:This sample is the RNA that isolated from peripheral blood samples of following condition malaria patients.From : Bitung (Indonesia)Age : 7;Sex : Male;Temperature : 36;Days : 4;
DRS005751	2014-05-08T16:05:16.273	2014-05-08T00:00:00.000	2014-11-12T03:29:30.000	malaria5#8	NA	sample_name:DRS005751;sample comment:This sample is the RNA that isolated from peripheral blood samples of following condition malaria patients.From : Bitung (Indonesia)Age : 22;Sex : Female;Temperature : 36.7;Days : 7;
DRS005752	2014-05-08T16:05:17.146	2014-05-08T00:00:00.000	2014-11-12T03:29:30.000	malaria6#01	NA	sample_name:DRS005752;sample comment:This sample is the RNA that isolated from peripheral blood samples of following condition malaria patients.From : Manado (Indonesia)Age : 41;Sex : Female;Temperature : 38.3;Days : 2;
DRS005753	2014-05-08T16:05:16.060	2014-05-08T00:00:00.000	2014-11-12T03:29:30.000	malaria6#02	NA	sample_name:DRS005753;sample comment:This sample is the RNA that isolated from peripheral blood samples of following condition malaria patients.From : Manado (Indonesia)Age : 2;Sex : Male;Temperature : 37.8;Days : 7;
DRS005754	2014-05-08T16:05:15.640	2014-05-08T00:00:00.000	2014-11-12T03:29:30.000	malaria6#03	NA	sample_name:DRS005754;sample comment:This sample is the RNA that isolated from peripheral blood samples of following condition malaria patients.From : Manado (Indonesia)Age : 2;Sex : Male;Temperature : NA;Days : NA;
DRS005755	2014-05-08T16:05:15.176	2014-05-08T00:00:00.000	2014-11-12T03:29:30.000	malaria6#04	NA	sample_name:DRS005755;sample comment:This sample is the RNA that isolated from peripheral blood samples of following condition malaria patients.From : Manado (Indonesia)Age : 20;Sex : Female;Temperature : 39.5;Days : 2;
DRS005756	2014-05-08T16:05:14.700	2014-05-08T00:00:00.000	2014-11-12T03:29:30.000	malaria6#07	NA	sample_name:DRS005756;sample comment:This sample is the RNA that isolated from peripheral blood samples of following condition malaria patients.From : Manado (Indonesia)Age : 11;Sex : Female;Temperature : 37.4;Days : 1;
DRS005757	2014-05-08T16:05:14.960	2014-05-08T00:00:00.000	2014-11-12T03:29:30.000	malaria6#08	NA	sample_name:DRS005757;sample comment:This sample is the RNA that isolated from peripheral blood samples of following condition malaria patients.From : Manado (Indonesia)Age : 5;Sex : Male;Temperature : 38.5;Days : 2;
DRS005758	2014-05-08T16:05:14.186	2014-05-08T00:00:00.000	2014-11-12T03:29:30.000	malaria6#53	NA	sample_name:DRS005758;sample comment:This sample is the RNA that isolated from peripheral blood samples of following condition malaria patients.From : Bitung (Indonesia)Age : 34;Sex : Female;Temperature : NA;Days : 7;
DRS005759	2014-05-08T16:05:14.736	2014-05-08T00:00:00.000	2014-11-12T03:29:30.000	malaria6#58	NA	sample_name:DRS005759;sample comment:This sample is the RNA that isolated from peripheral blood samples of following condition malaria patients.From : Bitung (Indonesia)Age : 32;Sex : Male;Temperature : NA;Days : NA;
DRS005760	2014-05-08T16:05:17.070	2014-05-08T00:00:00.000	2014-11-12T03:29:30.000	malaria6#59	NA	sample_name:DRS005760;sample comment:This sample is the RNA that isolated from peripheral blood samples of following condition malaria patients.From : Bitung (Indonesia)Age : 19;Sex : Female;Temperature : NA;Days : NA;
DRS005761	2014-05-08T16:05:16.746	2014-05-08T00:00:00.000	2014-11-12T03:29:30.000	malaria6#64	NA	sample_name:DRS005761;sample comment:This sample is the RNA that isolated from peripheral blood samples of following condition malaria patients.From : Bitung (Indonesia)Age : 54;Sex : Female;Temperature : NA;Days : NA;
DRS005762	2014-05-08T16:05:16.923	2014-05-08T00:00:00.000	2014-11-12T03:29:30.000	malaria6#65	NA	sample_name:DRS005762;sample comment:This sample is the RNA that isolated from peripheral blood samples of following condition malaria patients.From : Bitung (Indonesia)Age : 4;Sex : Male;Temperature : 39;Days : 7;
DRS005763	2014-05-08T16:05:10.810	2014-05-08T00:00:00.000	2014-11-12T03:29:30.000	malaria6#66	NA	sample_name:DRS005763;sample comment:This sample is the RNA that isolated from peripheral blood samples of following condition malaria patients.From : Bitung (Indonesia)Age : 40;Sex : Female;Temperature : 38;Days : 4;
DRS005764	2014-05-08T16:05:16.783	2014-05-08T00:00:00.000	2014-11-12T03:29:30.000	malaria6#67	NA	sample_name:DRS005764;sample comment:This sample is the RNA that isolated from peripheral blood samples of following condition malaria patients.From : Bitung (Indonesia)Age : 6;Sex : Male;Temperature : 39.6;Days : 4;
DRS005765	2014-05-08T16:05:13.750	2014-05-08T00:00:00.000	2014-11-12T03:29:30.000	malaria6#70	NA	sample_name:DRS005765;sample comment:This sample is the RNA that isolated from peripheral blood samples of following condition malaria patients.From : Bitung (Indonesia)Age : 30;Sex : Male;Temperature : 41;Days : 15;
DRS005766	2014-05-08T16:05:16.853	2014-05-08T00:00:00.000	2014-11-12T03:29:30.000	malaria6#71	NA	sample_name:DRS005766;sample comment:This sample is the RNA that isolated from peripheral blood samples of following condition malaria patients.From : Bitung (Indonesia)Age : 30;Sex : Male;Temperature : 39;Days : 4;
DRS005767	2014-05-08T16:05:13.423	2014-05-08T00:00:00.000	2014-11-12T03:29:30.000	malaria7#013	NA	sample_name:DRS005767;sample comment:This sample is the RNA that isolated from peripheral blood samples of following condition malaria patients.From : Manado (Indonesia)Age : 63;Sex : Male;Temperature : 38.1;Days : 2;
DRS005768	2014-05-08T16:05:13.256	2014-05-08T00:00:00.000	2014-11-12T03:29:30.000	malaria7#33	NA	sample_name:DRS005768;sample comment:This sample is the RNA that isolated from peripheral blood samples of following condition malaria patients.From : Bitung (Indonesia)Age : 8;Sex : Female;Temperature : 40;Days : NA;
DRS005769	2014-05-08T16:05:16.640	2014-05-08T00:00:00.000	2014-11-12T03:29:30.000	malaria7#35	NA	sample_name:DRS005769;sample comment:This sample is the RNA that isolated from peripheral blood samples of following condition malaria patients.From : Bitung (Indonesia)Age : 62;Sex : Male;Temperature : 38;Days : NA;
DRS005770	2014-05-08T16:05:12.550	2014-05-08T00:00:00.000	2014-11-12T03:29:30.000	malaria7#47	NA	sample_name:DRS005770;sample comment:This sample is the RNA that isolated from peripheral blood samples of following condition malaria patients.From : Bitung (Indonesia)Age : 14;Sex : Female;Temperature : 38;Days : NA;
DRS005771	2014-05-08T16:05:16.960	2014-05-08T00:00:00.000	2014-11-12T03:29:30.000	malaria7#48	NA	sample_name:DRS005771;sample comment:This sample is the RNA that isolated from peripheral blood samples of following condition malaria patients.From : Bitung (Indonesia)Age : 16;Sex : Female;Temperature : 38;Days : NA;
DRS005772	2014-05-08T16:05:14.483	2014-05-08T00:00:00.000	2014-11-12T03:29:30.000	malaria7#55	NA	sample_name:DRS005772;sample comment:This sample is the RNA that isolated from peripheral blood samples of following condition malaria patients.From : Bitung (Indonesia)Age : 23;Sex : Male;Temperature : 39;Days : NA;
DRS005773	2014-05-08T16:05:11.793	2014-05-08T00:00:00.000	2014-11-12T03:29:30.000	malaria7#57	NA	sample_name:DRS005773;sample comment:This sample is the RNA that isolated from peripheral blood samples of following condition malaria patients.From : Bitung (Indonesia)Age : 44;Sex : Male;Temperature : 40;Days : NA;
DRS005774	2014-05-08T16:05:16.380	2014-05-08T00:00:00.000	2014-11-12T03:29:30.000	malaria7#58	NA	sample_name:DRS005774;sample comment:This sample is the RNA that isolated from peripheral blood samples of following condition malaria patients.From : Bitung (Indonesia)Age : 39;Sex : Female;Temperature : 38;Days : NA;
DRS005775	2014-05-08T16:05:16.606	2014-05-08T00:00:00.000	2014-11-12T03:29:30.000	malaria7#7	NA	sample_name:DRS005775;sample comment:This sample is the RNA that isolated from peripheral blood samples of following condition malaria patients.From : Bitung (Indonesia)Age : 13;Sex : Female;Temperature : 38;Days : NA;
DRS005776	2014-05-08T16:05:11.363	2014-05-08T00:00:00.000	2014-11-12T03:29:30.000	malaria7#011	NA	sample_name:DRS005776;sample comment:This sample is the RNA that isolated from peripheral blood samples of following condition malaria patients.From : Manado (Indonesia)Age : 5;Sex : Female;Temperature : 38.2;Days : 2;
DRS005777	2014-05-08T16:05:13.310	2014-05-08T00:00:00.000	2014-11-12T03:29:30.000	malaria7#012	NA	sample_name:DRS005777;sample comment:This sample is the RNA that isolated from peripheral blood samples of following condition malaria patients.From : Manado (Indonesia)Age : 58;Sex : Male;Temperature : 37.8;Days : 4;
DRS005778	2014-05-08T16:05:13.346	2014-05-08T00:00:00.000	2014-11-12T03:29:30.000	malaria7#18	NA	sample_name:DRS005778;sample comment:This sample is the RNA that isolated from peripheral blood samples of following condition malaria patients.From : Bitung (Indonesia)Age : 6;Sex : Female;Temperature : 40;Days : NA;
DRS005779	2014-05-08T16:05:14.530	2014-05-08T00:00:00.000	2014-11-12T03:29:30.000	malaria7#23	NA	sample_name:DRS005779;sample comment:This sample is the RNA that isolated from peripheral blood samples of following condition malaria patients.From : Bitung (Indonesia)Age : 36;Sex : Female;Temperature : 38;Days : NA;
DRS005780	2014-05-08T16:05:14.923	2014-05-08T00:00:00.000	2014-11-12T03:29:30.000	malaria7#26	NA	sample_name:DRS005780;sample comment:This sample is the RNA that isolated from peripheral blood samples of following condition malaria patients.From : Bitung (Indonesia)Age : 38;Sex : Female;Temperature : 41;Days : NA;
DRS005781	2014-05-08T16:05:15.676	2014-05-08T00:00:00.000	2014-11-12T03:29:30.000	malaria7#31	NA	sample_name:DRS005781;sample comment:This sample is the RNA that isolated from peripheral blood samples of following condition malaria patients.From : Bitung (Indonesia)Age : 29;Sex : Female;Temperature : 39;Days : NA;
