ucsc	length	ensembl	gencode	RAM	RAM_unit	matrixFile	nRegions
chr22_KI270731v1_random	150754	KI270731.1	KI270731.1	5.29	Mb	/dcl01/leek/data/gtex_work/runs/gtex/DER_analysis/coverageMatrix/bwtool/coverageMatrix-cut0.5-chr22_KI270731v1_random.Rdata	57
chr1_KI270707v1_random	32032	KI270707.1	KI270707.1	1.24	Mb	/dcl01/leek/data/gtex_work/runs/gtex/DER_analysis/coverageMatrix/bwtool/coverageMatrix-cut0.5-chr1_KI270707v1_random.Rdata	2
chrUn_KI270322v1	21476	KI270322.1	KI270322.1	NA	NA	NA	NA
chrUn_KI270579v1	31033	KI270579.1	KI270579.1	NA	NA	NA	NA
chrUn_KI270756v1	79590	KI270756.1	KI270756.1	NA	NA	NA	NA
chrUn_KI270335v1	1048	KI270335.1	KI270335.1	NA	NA	NA	NA
chrUn_KI270378v1	1048	KI270378.1	KI270378.1	NA	NA	NA	NA
chrEBV	171823	NA	NA	24.83	Mb	/dcl01/leek/data/gtex_work/runs/gtex/DER_analysis/coverageMatrix/bwtool/coverageMatrix-cut0.5-chrEBV.Rdata	322
chrUn_KI270381v1	1930	KI270381.1	KI270381.1	NA	NA	NA	NA
chrUn_KI270303v1	1942	KI270303.1	KI270303.1	NA	NA	NA	NA
chrUn_KI270333v1	2699	KI270333.1	KI270333.1	NA	NA	NA	NA
chrUn_KI270435v1	92983	KI270435.1	KI270435.1	1.24	Mb	/dcl01/leek/data/gtex_work/runs/gtex/DER_analysis/coverageMatrix/bwtool/coverageMatrix-cut0.5-chrUn_KI270435v1.Rdata	2
chr15_KI270727v1_random	448248	KI270727.1	KI270727.1	5.44	Mb	/dcl01/leek/data/gtex_work/runs/gtex/DER_analysis/coverageMatrix/bwtool/coverageMatrix-cut0.5-chr15_KI270727v1_random.Rdata	59
chrUn_KI270302v1	2274	KI270302.1	KI270302.1	NA	NA	NA	NA
chrUn_KI270530v1	2168	KI270530.1	KI270530.1	NA	NA	NA	NA
chrUn_KI270744v1	168472	KI270744.1	KI270744.1	11.56	Mb	/dcl01/leek/data/gtex_work/runs/gtex/DER_analysis/coverageMatrix/bwtool/coverageMatrix-cut0.5-chrUn_KI270744v1.Rdata	142
chrUn_KI270548v1	1599	KI270548.1	KI270548.1	NA	NA	NA	NA
chrUn_KI270304v1	2165	KI270304.1	KI270304.1	NA	NA	NA	NA
chrUn_KI270745v1	41891	KI270745.1	KI270745.1	6.18	Mb	/dcl01/leek/data/gtex_work/runs/gtex/DER_analysis/coverageMatrix/bwtool/coverageMatrix-cut0.5-chrUn_KI270745v1.Rdata	69
chrY_KI270740v1_random	37240	KI270740.1	KI270740.1	NA	NA	NA	NA
chr22_KI270732v1_random	41543	KI270732.1	KI270732.1	1.24	Mb	/dcl01/leek/data/gtex_work/runs/gtex/DER_analysis/coverageMatrix/bwtool/coverageMatrix-cut0.5-chr22_KI270732v1_random.Rdata	2
chrUn_GL000216v2	176608	GL000216.2	GL000216.2	1.98	Mb	/dcl01/leek/data/gtex_work/runs/gtex/DER_analysis/coverageMatrix/bwtool/coverageMatrix-cut0.5-chrUn_GL000216v2.Rdata	12
chrUn_GL000195v1	182896	GL000195.1	GL000195.1	18.12	Mb	/dcl01/leek/data/gtex_work/runs/gtex/DER_analysis/coverageMatrix/bwtool/coverageMatrix-cut0.5-chrUn_GL000195v1.Rdata	231
chrUn_KI270742v1	186739	KI270742.1	KI270742.1	18.42	Mb	/dcl01/leek/data/gtex_work/runs/gtex/DER_analysis/coverageMatrix/bwtool/coverageMatrix-cut0.5-chrUn_KI270742v1.Rdata	235
chr14_GL000194v1_random	191469	GL000194.1	GL000194.1	11.19	Mb	/dcl01/leek/data/gtex_work/runs/gtex/DER_analysis/coverageMatrix/bwtool/coverageMatrix-cut0.5-chr14_GL000194v1_random.Rdata	137
chrUn_KI270590v1	4685	KI270590.1	KI270590.1	NA	NA	NA	NA
chrUn_KI270751v1	150742	KI270751.1	KI270751.1	1.68	Mb	/dcl01/leek/data/gtex_work/runs/gtex/DER_analysis/coverageMatrix/bwtool/coverageMatrix-cut0.5-chrUn_KI270751v1.Rdata	8
chrUn_KI270374v1	2656	KI270374.1	KI270374.1	NA	NA	NA	NA
chrUn_KI270750v1	148850	KI270750.1	KI270750.1	1.24	Mb	/dcl01/leek/data/gtex_work/runs/gtex/DER_analysis/coverageMatrix/bwtool/coverageMatrix-cut0.5-chrUn_KI270750v1.Rdata	2
chr9_KI270719v1_random	176845	KI270719.1	KI270719.1	3.08	Mb	/dcl01/leek/data/gtex_work/runs/gtex/DER_analysis/coverageMatrix/bwtool/coverageMatrix-cut0.5-chr9_KI270719v1_random.Rdata	27
chrUn_KI270311v1	12399	KI270311.1	KI270311.1	NA	NA	NA	NA
chr14	107043718	14	14	2.73	Gb	/dcl01/leek/data/gtex_work/runs/gtex/DER_analysis/coverageMatrix/bwtool/coverageMatrix-cut0.5-chr14.Rdata	37966
chr22_KI270737v1_random	103838	KI270737.1	KI270737.1	NA	NA	NA	NA
chrUn_KI270362v1	3530	KI270362.1	KI270362.1	NA	NA	NA	NA
chrUn_KI270363v1	1803	KI270363.1	KI270363.1	NA	NA	NA	NA
chrUn_KI270508v1	1951	KI270508.1	KI270508.1	NA	NA	NA	NA
chr17_GL000205v2_random	185591	GL000205.2	GL000205.2	14.43	Mb	/dcl01/leek/data/gtex_work/runs/gtex/DER_analysis/coverageMatrix/bwtool/coverageMatrix-cut0.5-chr17_GL000205v2_random.Rdata	181
chrUn_KI270747v1	198735	KI270747.1	KI270747.1	1.24	Mb	/dcl01/leek/data/gtex_work/runs/gtex/DER_analysis/coverageMatrix/bwtool/coverageMatrix-cut0.5-chrUn_KI270747v1.Rdata	2
chrUn_KI270509v1	2318	KI270509.1	KI270509.1	NA	NA	NA	NA
chr4_GL000008v2_random	209709	GL000008.2	GL000008.2	9.35	Mb	/dcl01/leek/data/gtex_work/runs/gtex/DER_analysis/coverageMatrix/bwtool/coverageMatrix-cut0.5-chr4_GL000008v2_random.Rdata	112
chrUn_KI270753v1	62944	KI270753.1	KI270753.1	NA	NA	NA	NA
chrUn_KI270752v1	27745	KI270752.1	KI270752.1	1.61	Mb	/dcl01/leek/data/gtex_work/runs/gtex/DER_analysis/coverageMatrix/bwtool/coverageMatrix-cut0.5-chrUn_KI270752v1.Rdata	7
chr17_KI270730v1_random	112551	KI270730.1	KI270730.1	1.17	Mb	/dcl01/leek/data/gtex_work/runs/gtex/DER_analysis/coverageMatrix/bwtool/coverageMatrix-cut0.5-chr17_KI270730v1_random.Rdata	1
chrUn_KI270755v1	36723	KI270755.1	KI270755.1	1.9	Mb	/dcl01/leek/data/gtex_work/runs/gtex/DER_analysis/coverageMatrix/bwtool/coverageMatrix-cut0.5-chrUn_KI270755v1.Rdata	11
chr22_KI270734v1_random	165050	KI270734.1	KI270734.1	8.61	Mb	/dcl01/leek/data/gtex_work/runs/gtex/DER_analysis/coverageMatrix/bwtool/coverageMatrix-cut0.5-chr22_KI270734v1_random.Rdata	102
chrUn_KI270448v1	7992	KI270448.1	KI270448.1	NA	NA	NA	NA
chrUn_KI270422v1	1445	KI270422.1	KI270422.1	NA	NA	NA	NA
chrUn_KI270417v1	2043	KI270417.1	KI270417.1	NA	NA	NA	NA
chr1_KI270711v1_random	42210	KI270711.1	KI270711.1	6.92	Mb	/dcl01/leek/data/gtex_work/runs/gtex/DER_analysis/coverageMatrix/bwtool/coverageMatrix-cut0.5-chr1_KI270711v1_random.Rdata	79
chr14_KI270726v1_random	43739	KI270726.1	KI270726.1	1.76	Mb	/dcl01/leek/data/gtex_work/runs/gtex/DER_analysis/coverageMatrix/bwtool/coverageMatrix-cut0.5-chr14_KI270726v1_random.Rdata	9
chrUn_KI270371v1	2805	KI270371.1	KI270371.1	NA	NA	NA	NA
chrUn_KI270420v1	2321	KI270420.1	KI270420.1	NA	NA	NA	NA
chr22_KI270733v1_random	179772	KI270733.1	KI270733.1	6.77	Mb	/dcl01/leek/data/gtex_work/runs/gtex/DER_analysis/coverageMatrix/bwtool/coverageMatrix-cut0.5-chr22_KI270733v1_random.Rdata	77
chr11_KI270721v1_random	100316	KI270721.1	KI270721.1	8.17	Mb	/dcl01/leek/data/gtex_work/runs/gtex/DER_analysis/coverageMatrix/bwtool/coverageMatrix-cut0.5-chr11_KI270721v1_random.Rdata	96
chrUn_KI270425v1	1884	KI270425.1	KI270425.1	NA	NA	NA	NA
chrUn_KI270315v1	2276	KI270315.1	KI270315.1	NA	NA	NA	NA
chrUn_KI270424v1	2140	KI270424.1	KI270424.1	NA	NA	NA	NA
chrUn_KI270588v1	6158	KI270588.1	KI270588.1	NA	NA	NA	NA
chr22_KI270739v1_random	73985	KI270739.1	KI270739.1	NA	NA	NA	NA
chrUn_KI270364v1	2855	KI270364.1	KI270364.1	NA	NA	NA	NA
chrUn_KI270366v1	8320	KI270366.1	KI270366.1	NA	NA	NA	NA
chrUn_KI270522v1	5674	KI270522.1	KI270522.1	NA	NA	NA	NA
chrUn_KI270754v1	40191	KI270754.1	KI270754.1	1.39	Mb	/dcl01/leek/data/gtex_work/runs/gtex/DER_analysis/coverageMatrix/bwtool/coverageMatrix-cut0.5-chrUn_KI270754v1.Rdata	4
chr14_GL000009v2_random	201709	GL000009.2	GL000009.2	13.62	Mb	/dcl01/leek/data/gtex_work/runs/gtex/DER_analysis/coverageMatrix/bwtool/coverageMatrix-cut0.5-chr14_GL000009v2_random.Rdata	170
chr14_KI270724v1_random	39555	KI270724.1	KI270724.1	1.17	Mb	/dcl01/leek/data/gtex_work/runs/gtex/DER_analysis/coverageMatrix/bwtool/coverageMatrix-cut0.5-chr14_KI270724v1_random.Rdata	1
chrUn_KI270517v1	3253	KI270517.1	KI270517.1	NA	NA	NA	NA
chrUn_KI270429v1	1361	KI270429.1	KI270429.1	NA	NA	NA	NA
chr1_KI270709v1_random	66860	KI270709.1	KI270709.1	1.83	Mb	/dcl01/leek/data/gtex_work/runs/gtex/DER_analysis/coverageMatrix/bwtool/coverageMatrix-cut0.5-chr1_KI270709v1_random.Rdata	10
chrUn_KI270580v1	1553	KI270580.1	KI270580.1	NA	NA	NA	NA
chr2_KI270715v1_random	161471	KI270715.1	KI270715.1	NA	NA	NA	NA
chrUn_KI270507v1	5353	KI270507.1	KI270507.1	NA	NA	NA	NA
chrUn_KI270317v1	37690	KI270317.1	KI270317.1	NA	NA	NA	NA
chrUn_KI270388v1	1216	KI270388.1	KI270388.1	NA	NA	NA	NA
chr1_KI270706v1_random	175055	KI270706.1	KI270706.1	9.42	Mb	/dcl01/leek/data/gtex_work/runs/gtex/DER_analysis/coverageMatrix/bwtool/coverageMatrix-cut0.5-chr1_KI270706v1_random.Rdata	113
chrUn_KI270389v1	1298	KI270389.1	KI270389.1	NA	NA	NA	NA
chrUn_KI270584v1	4513	KI270584.1	KI270584.1	NA	NA	NA	NA
chrUn_KI270336v1	1026	KI270336.1	KI270336.1	NA	NA	NA	NA
chrUn_KI270511v1	8127	KI270511.1	KI270511.1	NA	NA	NA	NA
chrUn_KI270383v1	1750	KI270383.1	KI270383.1	NA	NA	NA	NA
chrUn_KI270419v1	1029	KI270419.1	KI270419.1	NA	NA	NA	NA
chr14_KI270722v1_random	194050	KI270722.1	KI270722.1	1.68	Mb	/dcl01/leek/data/gtex_work/runs/gtex/DER_analysis/coverageMatrix/bwtool/coverageMatrix-cut0.5-chr14_KI270722v1_random.Rdata	8
chrUn_KI270519v1	138126	KI270519.1	KI270519.1	1.17	Mb	/dcl01/leek/data/gtex_work/runs/gtex/DER_analysis/coverageMatrix/bwtool/coverageMatrix-cut0.5-chrUn_KI270519v1.Rdata	1
chr1_KI270712v1_random	176043	KI270712.1	KI270712.1	6.33	Mb	/dcl01/leek/data/gtex_work/runs/gtex/DER_analysis/coverageMatrix/bwtool/coverageMatrix-cut0.5-chr1_KI270712v1_random.Rdata	71
chrUn_KI270442v1	392061	KI270442.1	KI270442.1	4.41	Mb	/dcl01/leek/data/gtex_work/runs/gtex/DER_analysis/coverageMatrix/bwtool/coverageMatrix-cut0.5-chrUn_KI270442v1.Rdata	45
chr1_KI270708v1_random	127682	KI270708.1	KI270708.1	1.24	Mb	/dcl01/leek/data/gtex_work/runs/gtex/DER_analysis/coverageMatrix/bwtool/coverageMatrix-cut0.5-chr1_KI270708v1_random.Rdata	2
chr14_KI270723v1_random	38115	KI270723.1	KI270723.1	1.17	Mb	/dcl01/leek/data/gtex_work/runs/gtex/DER_analysis/coverageMatrix/bwtool/coverageMatrix-cut0.5-chr14_KI270723v1_random.Rdata	1
chrUn_KI270386v1	1788	KI270386.1	KI270386.1	NA	NA	NA	NA
chr9_KI270718v1_random	38054	KI270718.1	KI270718.1	6.55	Mb	/dcl01/leek/data/gtex_work/runs/gtex/DER_analysis/coverageMatrix/bwtool/coverageMatrix-cut0.5-chr9_KI270718v1_random.Rdata	74
chrUn_KI270423v1	981	KI270423.1	KI270423.1	NA	NA	NA	NA
chrUn_KI270387v1	1537	KI270387.1	KI270387.1	NA	NA	NA	NA
chrUn_KI270373v1	1451	KI270373.1	KI270373.1	NA	NA	NA	NA
chrUn_KI270587v1	2969	KI270587.1	KI270587.1	NA	NA	NA	NA
chrUn_KI270515v1	6361	KI270515.1	KI270515.1	NA	NA	NA	NA
chrUn_KI270582v1	6504	KI270582.1	KI270582.1	NA	NA	NA	NA
chrUn_KI270411v1	2646	KI270411.1	KI270411.1	NA	NA	NA	NA
chrUn_KI270583v1	1400	KI270583.1	KI270583.1	1.17	Mb	/dcl01/leek/data/gtex_work/runs/gtex/DER_analysis/coverageMatrix/bwtool/coverageMatrix-cut0.5-chrUn_KI270583v1.Rdata	1
chrUn_KI270330v1	1652	KI270330.1	KI270330.1	1.24	Mb	/dcl01/leek/data/gtex_work/runs/gtex/DER_analysis/coverageMatrix/bwtool/coverageMatrix-cut0.5-chrUn_KI270330v1.Rdata	2
chrUn_KI270379v1	1045	KI270379.1	KI270379.1	NA	NA	NA	NA
chr5	181538259	5	5	4.38	Gb	/dcl01/leek/data/gtex_work/runs/gtex/DER_analysis/coverageMatrix/bwtool/coverageMatrix-cut0.5-chr5.Rdata	60774
chrUn_KI270334v1	1368	KI270334.1	KI270334.1	NA	NA	NA	NA
chrUn_KI270743v1	210658	KI270743.1	KI270743.1	3.67	Mb	/dcl01/leek/data/gtex_work/runs/gtex/DER_analysis/coverageMatrix/bwtool/coverageMatrix-cut0.5-chrUn_KI270743v1.Rdata	35
chr9_KI270717v1_random	40062	KI270717.1	KI270717.1	1.39	Mb	/dcl01/leek/data/gtex_work/runs/gtex/DER_analysis/coverageMatrix/bwtool/coverageMatrix-cut0.5-chr9_KI270717v1_random.Rdata	4
chr22_KI270736v1_random	181920	KI270736.1	KI270736.1	NA	NA	NA	NA
chrUn_KI270589v1	44474	KI270589.1	KI270589.1	1.17	Mb	/dcl01/leek/data/gtex_work/runs/gtex/DER_analysis/coverageMatrix/bwtool/coverageMatrix-cut0.5-chrUn_KI270589v1.Rdata	1
chrUn_KI270757v1	71251	KI270757.1	KI270757.1	NA	NA	NA	NA
chr5_GL000208v1_random	92689	GL000208.1	GL000208.1	1.17	Mb	/dcl01/leek/data/gtex_work/runs/gtex/DER_analysis/coverageMatrix/bwtool/coverageMatrix-cut0.5-chr5_GL000208v1_random.Rdata	1
chrUn_KI270375v1	2378	KI270375.1	KI270375.1	NA	NA	NA	NA
chr1_KI270710v1_random	40176	KI270710.1	KI270710.1	NA	NA	NA	NA
chrUn_KI270384v1	1658	KI270384.1	KI270384.1	NA	NA	NA	NA
chrUn_KI270338v1	1428	KI270338.1	KI270338.1	NA	NA	NA	NA
chrUn_KI270385v1	990	KI270385.1	KI270385.1	NA	NA	NA	NA
chrUn_KI270438v1	112505	KI270438.1	KI270438.1	2.42	Mb	/dcl01/leek/data/gtex_work/runs/gtex/DER_analysis/coverageMatrix/bwtool/coverageMatrix-cut0.5-chrUn_KI270438v1.Rdata	18
chrUn_KI270394v1	970	KI270394.1	KI270394.1	NA	NA	NA	NA
chrUn_KI270591v1	5796	KI270591.1	KI270591.1	NA	NA	NA	NA
chrUn_KI270382v1	4215	KI270382.1	KI270382.1	NA	NA	NA	NA
chr1_KI270714v1_random	41717	KI270714.1	KI270714.1	6.33	Mb	/dcl01/leek/data/gtex_work/runs/gtex/DER_analysis/coverageMatrix/bwtool/coverageMatrix-cut0.5-chr1_KI270714v1_random.Rdata	71
chrUn_KI270391v1	1484	KI270391.1	KI270391.1	NA	NA	NA	NA
chr14_KI270725v1_random	172810	KI270725.1	KI270725.1	1.31	Mb	/dcl01/leek/data/gtex_work/runs/gtex/DER_analysis/coverageMatrix/bwtool/coverageMatrix-cut0.5-chr14_KI270725v1_random.Rdata	3
chrUn_KI270390v1	2387	KI270390.1	KI270390.1	NA	NA	NA	NA
chr14_GL000225v1_random	211173	GL000225.1	GL000225.1	1.31	Mb	/dcl01/leek/data/gtex_work/runs/gtex/DER_analysis/coverageMatrix/bwtool/coverageMatrix-cut0.5-chr14_GL000225v1_random.Rdata	3
chrUn_KI270310v1	1201	KI270310.1	KI270310.1	NA	NA	NA	NA
chrY	57227415	Y	Y	187.37	Mb	/dcl01/leek/data/gtex_work/runs/gtex/DER_analysis/coverageMatrix/bwtool/coverageMatrix-cut0.5-chrY.Rdata	2527
chrX	156040895	X	X	2.74	Gb	/dcl01/leek/data/gtex_work/runs/gtex/DER_analysis/coverageMatrix/bwtool/coverageMatrix-cut0.5-chrX.Rdata	37989
chrUn_GL000220v1	161802	GL000220.1	GL000220.1	6.99	Mb	/dcl01/leek/data/gtex_work/runs/gtex/DER_analysis/coverageMatrix/bwtool/coverageMatrix-cut0.5-chrUn_GL000220v1.Rdata	80
chrUn_KI270544v1	1202	KI270544.1	KI270544.1	NA	NA	NA	NA
chrM	16569	MT	MT	1.17	Mb	/dcl01/leek/data/gtex_work/runs/gtex/DER_analysis/coverageMatrix/bwtool/coverageMatrix-cut0.5-chrM.Rdata	1
chrUn_GL000226v1	15008	GL000226.1	GL000226.1	NA	NA	NA	NA
chrUn_KI270340v1	1428	KI270340.1	KI270340.1	NA	NA	NA	NA
chrUn_KI270393v1	1308	KI270393.1	KI270393.1	NA	NA	NA	NA
chrUn_KI270392v1	971	KI270392.1	KI270392.1	NA	NA	NA	NA
chrUn_GL000224v1	179693	GL000224.1	GL000224.1	7.28	Mb	/dcl01/leek/data/gtex_work/runs/gtex/DER_analysis/coverageMatrix/bwtool/coverageMatrix-cut0.5-chrUn_GL000224v1.Rdata	84
chr22_KI270738v1_random	99375	KI270738.1	KI270738.1	2.27	Mb	/dcl01/leek/data/gtex_work/runs/gtex/DER_analysis/coverageMatrix/bwtool/coverageMatrix-cut0.5-chr22_KI270738v1_random.Rdata	16
chrUn_KI270528v1	2983	KI270528.1	KI270528.1	NA	NA	NA	NA
chrUn_KI270467v1	3920	KI270467.1	KI270467.1	1.83	Mb	/dcl01/leek/data/gtex_work/runs/gtex/DER_analysis/coverageMatrix/bwtool/coverageMatrix-cut0.5-chrUn_KI270467v1.Rdata	10
chrUn_KI270529v1	1899	KI270529.1	KI270529.1	NA	NA	NA	NA
chrUn_KI270316v1	1444	KI270316.1	KI270316.1	NA	NA	NA	NA
chrUn_KI270539v1	993	KI270539.1	KI270539.1	NA	NA	NA	NA
chrUn_KI270512v1	22689	KI270512.1	KI270512.1	1.17	Mb	/dcl01/leek/data/gtex_work/runs/gtex/DER_analysis/coverageMatrix/bwtool/coverageMatrix-cut0.5-chrUn_KI270512v1.Rdata	1
chr22_KI270735v1_random	42811	KI270735.1	KI270735.1	1.24	Mb	/dcl01/leek/data/gtex_work/runs/gtex/DER_analysis/coverageMatrix/bwtool/coverageMatrix-cut0.5-chr22_KI270735v1_random.Rdata	2
chrUn_KI270312v1	998	KI270312.1	KI270312.1	NA	NA	NA	NA
chr22	50818468	22	22	1.75	Gb	/dcl01/leek/data/gtex_work/runs/gtex/DER_analysis/coverageMatrix/bwtool/coverageMatrix-cut0.5-chr22.Rdata	24344
chr20	64444167	20	20	2.13	Gb	/dcl01/leek/data/gtex_work/runs/gtex/DER_analysis/coverageMatrix/bwtool/coverageMatrix-cut0.5-chr20.Rdata	29565
chr21	46709983	21	21	1.2	Gb	/dcl01/leek/data/gtex_work/runs/gtex/DER_analysis/coverageMatrix/bwtool/coverageMatrix-cut0.5-chr21.Rdata	16600
chrUn_KI270329v1	1040	KI270329.1	KI270329.1	NA	NA	NA	NA
chr2_KI270716v1_random	153799	KI270716.1	KI270716.1	NA	NA	NA	NA
chrUn_KI270468v1	4055	KI270468.1	KI270468.1	NA	NA	NA	NA
chr7	159345973	7	7	4.56	Gb	/dcl01/leek/data/gtex_work/runs/gtex/DER_analysis/coverageMatrix/bwtool/coverageMatrix-cut0.5-chr7.Rdata	63344
chr6	170805979	6	6	4.44	Gb	/dcl01/leek/data/gtex_work/runs/gtex/DER_analysis/coverageMatrix/bwtool/coverageMatrix-cut0.5-chr6.Rdata	61663
chrUn_KI270414v1	2489	KI270414.1	KI270414.1	NA	NA	NA	NA
chr4	190214555	4	4	4.05	Gb	/dcl01/leek/data/gtex_work/runs/gtex/DER_analysis/coverageMatrix/bwtool/coverageMatrix-cut0.5-chr4.Rdata	56312
chr3	198295559	3	3	5.33	Gb	/dcl01/leek/data/gtex_work/runs/gtex/DER_analysis/coverageMatrix/bwtool/coverageMatrix-cut0.5-chr3.Rdata	74042
chr2	242193529	2	2	6.7	Gb	/dcl01/leek/data/gtex_work/runs/gtex/DER_analysis/coverageMatrix/bwtool/coverageMatrix-cut0.5-chr2.Rdata	93126
chr1	248956422	1	1	8.1	Gb	/dcl01/leek/data/gtex_work/runs/gtex/DER_analysis/coverageMatrix/bwtool/coverageMatrix-cut0.5-chr1.Rdata	112509
chrUn_KI270510v1	2415	KI270510.1	KI270510.1	NA	NA	NA	NA
chrUn_KI270466v1	1233	KI270466.1	KI270466.1	1.31	Mb	/dcl01/leek/data/gtex_work/runs/gtex/DER_analysis/coverageMatrix/bwtool/coverageMatrix-cut0.5-chrUn_KI270466v1.Rdata	3
chrUn_KI270395v1	1143	KI270395.1	KI270395.1	NA	NA	NA	NA
chr9	138394717	9	9	3.88	Gb	/dcl01/leek/data/gtex_work/runs/gtex/DER_analysis/coverageMatrix/bwtool/coverageMatrix-cut0.5-chr9.Rdata	53867
