run,release_date,mbytes,library_layout,platform,tissue,celltype,readlen,srx,id,study
SRR998294,Mon Oct 21 2013 10:05:37 GMT-0400 (EDT),2959,Paired,ILLUMINA,blood,lymphoblastoid,202,SRX356574,9665,GSM1234006: GM18505_RZ_1; Homo sapiens; RNA-Seq
SRR998262,Mon Oct 21 2013 10:05:37 GMT-0400 (EDT),4619,Paired,ILLUMINA,blood,lymphoblastoid,202,SRX356542,3675,GSM1233974: GM12892_RZ_2; Homo sapiens; RNA-Seq
SRR998261,Mon Oct 21 2013 10:05:37 GMT-0400 (EDT),2620,Paired,ILLUMINA,blood,lymphoblastoid,202,SRX356541,11964,GSM1233973: GM12892_RZ_1; Homo sapiens; RNA-Seq
SRR998240,Mon Oct 21 2013 10:05:37 GMT-0400 (EDT),2603,Paired,ILLUMINA,blood,lymphoblastoid,202,SRX356520,12080,GSM1233952: GM12891_RZ_2; Homo sapiens; RNA-Seq
SRR998239,Mon Oct 21 2013 10:05:37 GMT-0400 (EDT),2936,Paired,ILLUMINA,blood,lymphoblastoid,202,SRX356519,9834,GSM1233951: GM12891_RZ_1; Homo sapiens; RNA-Seq
SRR998218,Mon Oct 21 2013 10:05:37 GMT-0400 (EDT),3916,Paired,ILLUMINA,blood,lymphoblastoid,202,SRX356498,5293,GSM1233930: GM12890_RZ_2; Homo sapiens; RNA-Seq
SRR998217,Mon Oct 21 2013 10:05:37 GMT-0400 (EDT),3217,Paired,ILLUMINA,blood,lymphoblastoid,202,SRX356497,8212,GSM1233929: GM12890_RZ_1; Homo sapiens; RNA-Seq
SRR998198,Mon Oct 21 2013 10:05:37 GMT-0400 (EDT),3630,Paired,ILLUMINA,blood,lymphoblastoid,202,SRX356478,6294,GSM1233910: GM12878_RZ_2; Homo sapiens; RNA-Seq
SRR998197,Mon Oct 21 2013 10:05:37 GMT-0400 (EDT),2843,Paired,ILLUMINA,blood,lymphoblastoid,202,SRX356477,10450,GSM1233909: GM12878_RZ_1; Homo sapiens; RNA-Seq
SRR998172,Mon Oct 21 2013 10:05:37 GMT-0400 (EDT),3462,Paired,ILLUMINA,blood,lymphoblastoid,202,SRX356452,7026,GSM1233884: GM10847_RZ_2; Homo sapiens; RNA-Seq
SRR998171,Mon Oct 21 2013 10:05:37 GMT-0400 (EDT),3735,Paired,ILLUMINA,blood,lymphoblastoid,202,SRX356451,5887,GSM1233883: GM10847_RZ_1; Homo sapiens; RNA-Seq
SRR989638,Thu Nov 07 2013 18:24:15 GMT-0500 (EST),6228,Single,ILLUMINA,kidney,hek,50,SRX352946,2101,GSM1234285: Totals from lysates treated like PAR-CLIP samples; Homo sapiens; OTHER
SRR989637,Thu Nov 07 2013 18:24:15 GMT-0500 (EST),8206,Single,ILLUMINA,kidney,hek,50,SRX352945,1213,GSM1234284: PAR-CLIP HuR, replicate2; Homo sapiens; OTHER
SRR989636,Thu Nov 07 2013 18:24:15 GMT-0500 (EST),7508,Single,ILLUMINA,kidney,hek,50,SRX352944,1490,GSM1234283: PAR-CLIP HuR, replicate1; Homo sapiens; OTHER
SRR989635,Thu Nov 07 2013 18:24:15 GMT-0500 (EST),7971,Single,ILLUMINA,kidney,hek,50,SRX352943,1294,GSM1234282: PAR-CLIP background, ~45KDa; G45; Homo sapiens; OTHER
SRR989634,Thu Nov 07 2013 18:24:15 GMT-0500 (EST),7394,Single,ILLUMINA,kidney,hek,50,SRX352942,1528,GSM1234281: PAR-CLIP background, ~35KDa; G35; Homo sapiens; OTHER
SRR989633,Thu Nov 07 2013 18:24:15 GMT-0500 (EST),7736,Single,ILLUMINA,kidney,hek,50,SRX352941,1383,GSM1234280: PAR-CLIP background, ~20KDa; G20; Homo sapiens; OTHER
SRR988510,Thu Sep 19 2013 16:26:24 GMT-0400 (EDT),12277,Paired,ILLUMINA,blood,esc,202,SRX352342,471,GSM1233291: 7-407; Homo sapiens; RNA-Seq
SRR988509,Thu Sep 19 2013 16:26:24 GMT-0400 (EDT),10636,Paired,ILLUMINA,blood,esc,202,SRX352341,634,GSM1233290: 6-305; Homo sapiens; RNA-Seq
SRR988508,Thu Sep 19 2013 16:26:24 GMT-0400 (EDT),5658,Paired,ILLUMINA,blood,esc,202,SRX352340,2494,GSM1233289: 5b-404; Homo sapiens; RNA-Seq
SRR988507,Thu Sep 19 2013 16:26:24 GMT-0400 (EDT),13024,Paired,ILLUMINA,blood,esc,202,SRX352339,420,GSM1233288: 5a-288; Homo sapiens; RNA-Seq
SRR988506,Thu Sep 19 2013 16:26:24 GMT-0400 (EDT),10409,Paired,ILLUMINA,blood,esc,202,SRX352338,662,GSM1233287: 4b-396; Homo sapiens; RNA-Seq
SRR988505,Thu Sep 19 2013 16:26:24 GMT-0400 (EDT),12529,Paired,ILLUMINA,blood,esc,202,SRX352337,453,GSM1233286: 4a-280; Homo sapiens; RNA-Seq
SRR988504,Thu Sep 19 2013 16:26:24 GMT-0400 (EDT),4565,Paired,ILLUMINA,blood,esc,202,SRX352336,3788,GSM1233285: 3b-393; Homo sapiens; RNA-Seq
SRR988503,Thu Sep 19 2013 16:26:24 GMT-0400 (EDT),14773,Paired,ILLUMINA,blood,esc,202,SRX352335,305,GSM1233284: 3a-277; Homo sapiens; RNA-Seq
SRR988502,Thu Sep 19 2013 16:26:24 GMT-0400 (EDT),6052,Paired,ILLUMINA,blood,esc,202,SRX352334,2211,GSM1233283: 2b-387; Homo sapiens; RNA-Seq
SRR988501,Thu Sep 19 2013 16:26:24 GMT-0400 (EDT),13066,Paired,ILLUMINA,blood,esc,202,SRX352333,417,GSM1233282: 2a-271; Homo sapiens; RNA-Seq
SRR988500,Thu Sep 19 2013 16:26:24 GMT-0400 (EDT),5016,Paired,ILLUMINA,blood,esc,202,SRX352332,3101,GSM1233281: 1b-386; Homo sapiens; RNA-Seq
SRR988499,Thu Sep 19 2013 16:26:24 GMT-0400 (EDT),12153,Paired,ILLUMINA,blood,esc,202,SRX352331,477,GSM1233280: 1a-270; Homo sapiens; RNA-Seq
SRR987283,Thu Jul 10 2014 15:58:03 GMT-0400 (EDT),163,Single,ILLUMINA,bone,u2os,33,SRX351413,31055,GSM1231610: U2OS_-Dox_RNAseq; Homo sapiens; RNA-Seq
SRR987282,Thu Jul 10 2014 15:58:03 GMT-0400 (EDT),152,Single,ILLUMINA,bone,u2os,33,SRX351413,31403,GSM1231610: U2OS_-Dox_RNAseq; Homo sapiens; RNA-Seq
SRR987281,Thu Jul 10 2014 15:58:03 GMT-0400 (EDT),128,Single,ILLUMINA,bone,u2os,33,SRX351413,32135,GSM1231610: U2OS_-Dox_RNAseq; Homo sapiens; RNA-Seq
SRR987280,Thu Jul 10 2014 15:58:03 GMT-0400 (EDT),148,Single,ILLUMINA,bone,u2os,33,SRX351412,31514,GSM1231609: U2OS_+Dox_RNAseq; Homo sapiens; RNA-Seq
SRR987279,Thu Jul 10 2014 15:58:03 GMT-0400 (EDT),126,Single,ILLUMINA,bone,u2os,33,SRX351412,32239,GSM1231609: U2OS_+Dox_RNAseq; Homo sapiens; RNA-Seq
SRR987278,Thu Jul 10 2014 15:58:03 GMT-0400 (EDT),105,Single,ILLUMINA,bone,u2os,33,SRX351412,33073,GSM1231609: U2OS_+Dox_RNAseq; Homo sapiens; RNA-Seq
SRR980486,Thu Sep 12 2013 15:14:06 GMT-0400 (EDT),24225,Paired,ILLUMINA,muscle,esc,152,SRX343516,86,RNA-Seq (Total RNA) Fetal Muscle, Trunk
SRR980485,Thu Sep 12 2013 14:52:35 GMT-0400 (EDT),13881,Paired,ILLUMINA,muscle,esc,152,SRX343516,357,RNA-Seq (Total RNA) Fetal Muscle, Trunk
SRR980484,Thu Sep 12 2013 15:06:08 GMT-0400 (EDT),17821,Paired,ILLUMINA,adrenal gland,adrenal,152,SRX343518,193,RNA-Seq (Total RNA) Fetal Adrenal Gland
SRR980483,Thu Sep 12 2013 15:00:06 GMT-0400 (EDT),21023,Paired,ILLUMINA,spleen,esc,152,SRX343517,137,RNA-Seq (Total RNA) Fetal Stomach
SRR980482,Thu Sep 12 2013 14:09:06 GMT-0400 (EDT),106,Paired,ILLUMINA,spleen,esc,152,SRX343517,33031,RNA-Seq (Total RNA) Fetal Stomach
SRR980481,Thu Sep 12 2013 14:16:06 GMT-0400 (EDT),2190,Paired,ILLUMINA,placenta,esc,152,SRX343515,14718,RNA-Seq (Total RNA) Fetal Placenta
SRR980480,Thu Sep 12 2013 14:30:26 GMT-0400 (EDT),6884,Paired,ILLUMINA,placenta,esc,152,SRX343515,1750,RNA-Seq (Total RNA) Fetal Placenta
SRR980479,Thu Sep 12 2013 14:09:06 GMT-0400 (EDT),36,Paired,ILLUMINA,blood,cord,152,SRX343514,36222,RNA-Seq (Total RNA) Fetal Spinal Cord
SRR980478,Thu Sep 12 2013 14:12:05 GMT-0400 (EDT),1103,Paired,ILLUMINA,blood,cord,152,SRX343514,19985,RNA-Seq (Total RNA) Fetal Spinal Cord
SRR980477,Thu Sep 12 2013 14:49:06 GMT-0400 (EDT),12494,Paired,ILLUMINA,blood,cord,152,SRX343514,455,RNA-Seq (Total RNA) Fetal Spinal Cord
SRR980476,Thu Sep 12 2013 14:55:14 GMT-0400 (EDT),12534,Paired,ILLUMINA,muscle,esc,152,SRX343513,451,RNA-Seq (Total RNA) Fetal Muscle, Leg
SRR980475,Thu Sep 12 2013 14:37:06 GMT-0400 (EDT),8811,Paired,ILLUMINA,muscle,esc,152,SRX343513,993,RNA-Seq (Total RNA) Fetal Muscle, Leg
SRR980474,Thu Sep 12 2013 14:09:06 GMT-0400 (EDT),13,Paired,ILLUMINA,spleen,esc,152,SRX343512,37093,RNA-Seq (Total RNA) Fetal Thymus
SRR980473,Thu Sep 12 2013 15:02:46 GMT-0400 (EDT),16512,Paired,ILLUMINA,spleen,esc,152,SRX343512,229,RNA-Seq (Total RNA) Fetal Thymus
SRR980472,Thu Sep 12 2013 15:14:06 GMT-0400 (EDT),21731,Paired,ILLUMINA,spleen,esc,152,SRX343511,126,RNA-Seq (Total RNA) CD56 Primary Cells
SRR980471,Thu Sep 12 2013 15:33:27 GMT-0400 (EDT),26073,Paired,ILLUMINA,spleen,esc,152,SRX343510,59,RNA-Seq (Total RNA) CD19 Primary Cells
SRR980470,Thu Sep 12 2013 15:31:32 GMT-0400 (EDT),21432,Paired,ILLUMINA,monocytes,cd14,152,SRX343509,132,RNA-Seq (Total RNA) CD14 Primary Cells
SRR980469,Thu Sep 12 2013 14:19:06 GMT-0400 (EDT),3746,Paired,ILLUMINA,spleen,esc,152,SRX343508,5840,RNA-Seq (Total RNA) CD3 Primary Cells
SRR980468,Thu Sep 12 2013 14:37:06 GMT-0400 (EDT),9113,Paired,ILLUMINA,spleen,esc,152,SRX343508,908,RNA-Seq (Total RNA) CD3 Primary Cells
SRR980467,Thu Sep 12 2013 12:35:05 GMT-0400 (EDT),2200,Paired,ILLUMINA,spleen,esc,36,SRX343521,14653,RNA-Seq (Total RNA) Fetal Stomach
SRR980466,Thu Sep 12 2013 12:35:05 GMT-0400 (EDT),2173,Paired,ILLUMINA,spleen,esc,36,SRX343535,14806,RNA-Seq (Total RNA) Fetal Thymus
SRR980465,Thu Sep 12 2013 12:41:05 GMT-0400 (EDT),3056,Paired,ILLUMINA,spleen,esc,36,SRX343535,9077,RNA-Seq (Total RNA) Fetal Thymus
SRR980464,Thu Sep 12 2013 12:29:06 GMT-0400 (EDT),1250,Paired,ILLUMINA,spleen,esc,36,SRX343520,19242,RNA-Seq (Total RNA) Fetal Testes
SRR980463,Thu Sep 12 2013 12:35:05 GMT-0400 (EDT),2147,Paired,ILLUMINA,spleen,esc,36,SRX343519,14962,RNA-Seq (Total RNA) Fetal Spleen
SRR980462,Thu Sep 12 2013 12:35:05 GMT-0400 (EDT),2389,Paired,ILLUMINA,spleen,esc,36,SRX343534,13553,RNA-Seq (Total RNA) Fetal Stomach
SRR980461,Thu Sep 12 2013 12:35:05 GMT-0400 (EDT),1737,Paired,ILLUMINA,spleen,esc,36,SRX343533,16906,RNA-Seq (Total RNA) Fetal Thymus
SRR980460,Thu Sep 12 2013 12:34:06 GMT-0400 (EDT),1919,Paired,ILLUMINA,spleen,esc,36,SRX343532,16112,RNA-Seq (Total RNA) Fetal Stomach
SRR980459,Thu Sep 12 2013 12:34:06 GMT-0400 (EDT),2058,Paired,ILLUMINA,spleen,esc,36,SRX343531,15459,RNA-Seq (Total RNA) Fetal Stomach
SRR980458,Thu Sep 12 2013 12:29:06 GMT-0400 (EDT),1003,Paired,ILLUMINA,muscle,esc,36,SRX343530,20532,RNA-Seq (Total RNA) Fetal Muscle, Back
SRR980457,Thu Sep 12 2013 12:28:06 GMT-0400 (EDT),1135,Paired,ILLUMINA,muscle,esc,36,SRX343529,19822,RNA-Seq (Total RNA) Fetal Muscle, Arm
SRR980456,Thu Sep 12 2013 12:25:05 GMT-0400 (EDT),580,Paired,ILLUMINA,spleen,esc,36,SRX343528,24275,RNA-Seq (Total RNA) Fetal Stomach
SRR980455,Thu Sep 12 2013 12:30:06 GMT-0400 (EDT),1358,Paired,ILLUMINA,spleen,esc,36,SRX343528,18577,RNA-Seq (Total RNA) Fetal Stomach
SRR980454,Thu Sep 12 2013 12:30:06 GMT-0400 (EDT),1519,Paired,ILLUMINA,spleen,esc,36,SRX343527,17726,RNA-Seq (Total RNA) Fetal Thymus
SRR980453,Thu Sep 12 2013 12:33:05 GMT-0400 (EDT),1884,Paired,ILLUMINA,spleen,esc,36,SRX343526,16248,RNA-Seq (Total RNA) Fetal Thymus
SRR980452,Thu Sep 12 2013 12:35:05 GMT-0400 (EDT),2296,Paired,ILLUMINA,spleen,esc,36,SRX343525,14119,RNA-Seq (Total RNA) Fetal Thymus
SRR980451,Thu Sep 12 2013 12:34:06 GMT-0400 (EDT),2347,Paired,ILLUMINA,spleen,esc,36,SRX343524,13817,RNA-Seq (Total RNA) Fetal Stomach
SRR980450,Thu Sep 12 2013 12:28:06 GMT-0400 (EDT),1238,Paired,ILLUMINA,spleen,esc,36,SRX343523,19317,RNA-Seq (Total RNA) Fetal Stomach
SRR980449,Thu Sep 12 2013 12:30:06 GMT-0400 (EDT),1379,Paired,ILLUMINA,spleen,esc,36,SRX343522,18440,RNA-Seq (Total RNA) Fetal Spleen
SRR976773,Thu Jan 02 2014 15:46:03 GMT-0500 (EST),9052,Paired,ILLUMINA,blood,adipose,202,SRX348817,923,GSM1229374: A_blood_postLPS_technical_replicate; Homo sapiens; RNA-Seq
SRR976772,Thu Jan 02 2014 15:46:03 GMT-0500 (EST),7558,Paired,ILLUMINA,blood,adipose,202,SRX348816,1473,GSM1229373: A_blood_preLPS_technical_replicate; Homo sapiens; RNA-Seq
SRR976771,Thu Jan 02 2014 15:46:03 GMT-0500 (EST),3966,Paired,ILLUMINA,adipose tissue,adipose,202,SRX348815,5139,GSM1229372: A_adipose_postLPS_technical_replicate; Homo sapiens; RNA-Seq
SRR976770,Thu Jan 02 2014 15:46:03 GMT-0500 (EST),4112,Paired,ILLUMINA,adipose tissue,adipose,202,SRX348814,4725,GSM1229371: A_adipose_preLPS_technical_replicate; Homo sapiens; RNA-Seq
SRR976769,Thu Jan 02 2014 15:46:03 GMT-0500 (EST),12123,Paired,ILLUMINA,blood,adipose,202,SRX348813,479,GSM1229370: A_blood_postLPS; Homo sapiens; RNA-Seq
SRR976768,Thu Jan 02 2014 15:46:03 GMT-0500 (EST),11914,Paired,ILLUMINA,blood,adipose,202,SRX348813,499,GSM1229370: A_blood_postLPS; Homo sapiens; RNA-Seq
SRR976767,Thu Jan 02 2014 15:46:03 GMT-0500 (EST),11782,Paired,ILLUMINA,blood,adipose,202,SRX348813,511,GSM1229370: A_blood_postLPS; Homo sapiens; RNA-Seq
SRR976766,Thu Jan 02 2014 15:46:03 GMT-0500 (EST),12129,Paired,ILLUMINA,blood,adipose,202,SRX348813,478,GSM1229370: A_blood_postLPS; Homo sapiens; RNA-Seq
SRR976765,Thu Jan 02 2014 15:46:03 GMT-0500 (EST),11931,Paired,ILLUMINA,blood,adipose,202,SRX348813,496,GSM1229370: A_blood_postLPS; Homo sapiens; RNA-Seq
SRR976764,Thu Jan 02 2014 15:46:03 GMT-0500 (EST),12295,Paired,ILLUMINA,blood,adipose,202,SRX348813,469,GSM1229370: A_blood_postLPS; Homo sapiens; RNA-Seq
SRR976763,Thu Jan 02 2014 15:46:03 GMT-0500 (EST),11722,Paired,ILLUMINA,blood,adipose,202,SRX348813,518,GSM1229370: A_blood_postLPS; Homo sapiens; RNA-Seq
SRR976762,Thu Jan 02 2014 15:46:03 GMT-0500 (EST),11917,Paired,ILLUMINA,blood,adipose,202,SRX348813,498,GSM1229370: A_blood_postLPS; Homo sapiens; RNA-Seq
SRR976761,Thu Jan 02 2014 15:46:03 GMT-0500 (EST),8310,Paired,ILLUMINA,blood,adipose,202,SRX348812,1160,GSM1229369: A_blood_preLPS; Homo sapiens; RNA-Seq
SRR976760,Thu Jan 02 2014 15:46:03 GMT-0500 (EST),8217,Paired,ILLUMINA,blood,adipose,202,SRX348812,1204,GSM1229369: A_blood_preLPS; Homo sapiens; RNA-Seq
SRR976759,Thu Jan 02 2014 15:46:03 GMT-0500 (EST),8104,Paired,ILLUMINA,blood,adipose,202,SRX348812,1260,GSM1229369: A_blood_preLPS; Homo sapiens; RNA-Seq
SRR976758,Thu Jan 02 2014 15:46:03 GMT-0500 (EST),8335,Paired,ILLUMINA,blood,adipose,202,SRX348812,1150,GSM1229369: A_blood_preLPS; Homo sapiens; RNA-Seq
SRR976757,Thu Jan 02 2014 15:46:03 GMT-0500 (EST),8299,Paired,ILLUMINA,blood,adipose,202,SRX348812,1167,GSM1229369: A_blood_preLPS; Homo sapiens; RNA-Seq
SRR976756,Thu Jan 02 2014 15:46:03 GMT-0500 (EST),8480,Paired,ILLUMINA,blood,adipose,202,SRX348812,1105,GSM1229369: A_blood_preLPS; Homo sapiens; RNA-Seq
SRR976755,Thu Jan 02 2014 15:46:03 GMT-0500 (EST),8121,Paired,ILLUMINA,blood,adipose,202,SRX348812,1250,GSM1229369: A_blood_preLPS; Homo sapiens; RNA-Seq
SRR976754,Thu Jan 02 2014 15:46:03 GMT-0500 (EST),8194,Paired,ILLUMINA,blood,adipose,202,SRX348812,1216,GSM1229369: A_blood_preLPS; Homo sapiens; RNA-Seq
SRR976753,Thu Jan 02 2014 15:46:03 GMT-0500 (EST),8691,Paired,ILLUMINA,adipose tissue,adipose,202,SRX348811,1033,GSM1229368: A_adipose_postLPS; Homo sapiens; RNA-Seq
SRR976752,Thu Jan 02 2014 15:46:03 GMT-0500 (EST),8800,Paired,ILLUMINA,adipose tissue,adipose,202,SRX348811,997,GSM1229368: A_adipose_postLPS; Homo sapiens; RNA-Seq
SRR976751,Thu Jan 02 2014 15:46:03 GMT-0500 (EST),8651,Paired,ILLUMINA,adipose tissue,adipose,202,SRX348811,1049,GSM1229368: A_adipose_postLPS; Homo sapiens; RNA-Seq
SRR976750,Thu Jan 02 2014 15:46:03 GMT-0500 (EST),8578,Paired,ILLUMINA,adipose tissue,adipose,202,SRX348811,1073,GSM1229368: A_adipose_postLPS; Homo sapiens; RNA-Seq
SRR976749,Thu Jan 02 2014 15:46:03 GMT-0500 (EST),8684,Paired,ILLUMINA,adipose tissue,adipose,202,SRX348811,1037,GSM1229368: A_adipose_postLPS; Homo sapiens; RNA-Seq
SRR976748,Thu Jan 02 2014 15:46:03 GMT-0500 (EST),8587,Paired,ILLUMINA,adipose tissue,adipose,202,SRX348811,1069,GSM1229368: A_adipose_postLPS; Homo sapiens; RNA-Seq
SRR976747,Thu Jan 02 2014 15:46:03 GMT-0500 (EST),8592,Paired,ILLUMINA,adipose tissue,adipose,202,SRX348811,1066,GSM1229368: A_adipose_postLPS; Homo sapiens; RNA-Seq
SRR976746,Thu Jan 02 2014 15:46:03 GMT-0500 (EST),8604,Paired,ILLUMINA,adipose tissue,adipose,202,SRX348811,1059,GSM1229368: A_adipose_postLPS; Homo sapiens; RNA-Seq
SRR976745,Thu Jan 02 2014 15:46:03 GMT-0500 (EST),7706,Paired,ILLUMINA,adipose tissue,adipose,202,SRX348810,1395,GSM1229367: A_adipose_preLPS; Homo sapiens; RNA-Seq
SRR976744,Thu Jan 02 2014 15:46:03 GMT-0500 (EST),7813,Paired,ILLUMINA,adipose tissue,adipose,202,SRX348810,1350,GSM1229367: A_adipose_preLPS; Homo sapiens; RNA-Seq
SRR976743,Thu Jan 02 2014 15:46:03 GMT-0500 (EST),7677,Paired,ILLUMINA,adipose tissue,adipose,202,SRX348810,1407,GSM1229367: A_adipose_preLPS; Homo sapiens; RNA-Seq
SRR976742,Thu Jan 02 2014 15:46:03 GMT-0500 (EST),7614,Paired,ILLUMINA,adipose tissue,adipose,202,SRX348810,1444,GSM1229367: A_adipose_preLPS; Homo sapiens; RNA-Seq
SRR976741,Thu Jan 02 2014 15:46:03 GMT-0500 (EST),7720,Paired,ILLUMINA,adipose tissue,adipose,202,SRX348810,1390,GSM1229367: A_adipose_preLPS; Homo sapiens; RNA-Seq
SRR976740,Thu Jan 02 2014 15:46:03 GMT-0500 (EST),7628,Paired,ILLUMINA,adipose tissue,adipose,202,SRX348810,1431,GSM1229367: A_adipose_preLPS; Homo sapiens; RNA-Seq
SRR976739,Thu Jan 02 2014 15:46:03 GMT-0500 (EST),7629,Paired,ILLUMINA,adipose tissue,adipose,202,SRX348810,1429,GSM1229367: A_adipose_preLPS; Homo sapiens; RNA-Seq
SRR976738,Thu Jan 02 2014 15:46:03 GMT-0500 (EST),7640,Paired,ILLUMINA,adipose tissue,adipose,202,SRX348810,1421,GSM1229367: A_adipose_preLPS; Homo sapiens; RNA-Seq
SRR976249,Thu Oct 17 2013 10:08:32 GMT-0400 (EDT),159,Single,ILLUMINA,epithelium,cortex,21,SRX348565,31178,GSM1229127: hT5; Homo sapiens; RNA-Seq
SRR976248,Thu Oct 17 2013 10:08:32 GMT-0400 (EDT),160,Single,ILLUMINA,epithelium,cortex,21,SRX348564,31155,GSM1229126: hT4; Homo sapiens; RNA-Seq
SRR976247,Thu Oct 17 2013 10:08:32 GMT-0400 (EDT),140,Single,ILLUMINA,epithelium,cortex,21,SRX348563,31742,GSM1229125: hT3; Homo sapiens; RNA-Seq
